"Cmdlet","RuleName","Message"
"Connect-AzAccount","Unassigned Variable","""Connect-AzAccount -TenantId $TenantId is a null-valued parameter value."""
"Connect-AzAccount","Incorrect ParameterType","""Connect-AzAccount -Credential $Credential"" is not an expected parameter type."
"Connect-AzAccount","Incorrect ParameterType","""Update-AzVM -IdentityId $identity.Id"" is not an expected parameter type."
"Connect-AzAccount","Incorrect ParameterType","""Connect-AzAccount -AccountId $identity.ClientId"" is not an expected parameter type."
"Import-AzContext","Incorrect ParameterType","""Import-AzContext -AzContext (Connect-AzAccount)"" is not an expected parameter type."
"Invoke-AzRestMethod","Measure-Examples\Measure-WrongParameterNameAndValue","Exception calling ""FindAll"" with ""2"" argument(s): ""Cannot index into a null array."""
"Resolve-AzError","Unassigned Variable","""Resolve-AzError [-Error] $Error[0] is a null-valued parameter value."""
"Save-AzContext","Incorrect ParameterType","""Save-AzContext -Profile (Connect-AzAccount)"" is not an expected parameter type."
"Get-AzADDomainService","Incorrect ParameterType","""Get-AzADDomainService -InputObject $getAzAddomain"" is not an expected parameter type."
"New-AzADDomainService","Invalid Cmdlet","""New-AzADDomainServiceReplicaSetObject"" is not a valid command name."
"Remove-AzADDomainService","Unassigned Variable","""Remove-AzADDomainService -ResourceGroupName $env.ResourceGroupName is a null-valued parameter value."""
"Remove-AzADDomainService","Unassigned Variable","""Remove-AzADDomainService -Name $env.ADdomainName is a null-valued parameter value."""
"Remove-AzADDomainService","Unassigned Variable","""Get-AzADDomainService -ResourceGroupName $env.ResourceGroupName is a null-valued parameter value."""
"Remove-AzADDomainService","Unassigned Variable","""Get-AzADDomainService -Name $env.ADdomainName is a null-valued parameter value."""
"Remove-AzADDomainService","Incorrect ParameterType","""Remove-AzADDomainService -InputObject $GetADDomainExample"" is not an expected parameter type."
"Update-AzADDomainService","Invalid Cmdlet","""New-AzADDomainServiceDomainSecuritySettingObject"" is not a valid command name."
"Update-AzADDomainService","Invalid ParameterName","""Update-AzADDomainService -DomainSecuritySetting"" is not a valid parameter name."
"Update-AzADDomainService","Invalid Cmdlet","""New-AzADDomainServiceDomainSecuritySettingObject"" is not a valid command name."
"Update-AzADDomainService","Incorrect ParameterType","""Update-AzADDomainService -InputObject $getAzAddomain"" is not an expected parameter type."
"Update-AzADDomainService","Invalid ParameterName","""Update-AzADDomainService -DomainSecuritySetting"" is not a valid parameter name."
"Disable-AzAdvisorRecommendation","Invalid ParameterName","""Disable-AzAdvisorRecommendation -Name"" is not a valid parameter name."
"Disable-AzAksAddOn","Alias","""Get-AzAks"" is an alias of ""Get-AzAksCluster""."
"Enable-AzAksAddOn","Alias","""Get-AzAks"" is an alias of ""Get-AzAksCluster""."
"Invoke-AzAksRunCommand","Unassigned Variable","""Invoke-AzAksRunCommand -ResourceGroupName $resourceGroup is a null-valued parameter value."""
"Invoke-AzAksRunCommand","Unassigned Variable","""Invoke-AzAksRunCommand -Name $clusterName is a null-valued parameter value."""
"New-AzAksNodePool","Alias","""New-AzAks"" is an alias of ""New-AzAksCluster""."
"Remove-AzAksCluster","Invalid Cmdlet","""Remove-AzAks"" is not a valid command name."
"Remove-AzAksNodePool","Invalid ParameterName","""Remove-AzAksNodePool -CulsterName"" is not a valid parameter name."
"Set-AzAksCluster","Alias","""Get-AzAks"" is an alias of ""Get-AzAksCluster""."
"Set-AzAksCluster","Alias","""Set-AzAks"" is an alias of ""Set-AzAksCluster""."
"Set-AzAksClusterCredential","Unassigned Variable","""ConvertTo-SecureString [-String] $password is a null-valued parameter value."""
"Set-AzAksClusterCredential","Unassigned Variable","""Set-AzAksClusterCredential -ResourceGroupName $ResourceGroupName is a null-valued parameter value."""
"Set-AzAksClusterCredential","Unassigned Variable","""Set-AzAksClusterCredential -Name $Name is a null-valued parameter value."""
"Set-AzAksClusterCredential","Incorrect ParameterType","""Set-AzAksClusterCredential -ServicePrincipalIdAndSecret $Credential"" is not an expected parameter type."
"Stop-AzAksDashboard","Invalid Cmdlet","""Stop-AzKubernetesDashboard"" is not a valid command name."
"Get-AzAlert","Unassigned Variable","""Get-AzAlert -IncludeContext $true is a null-valued parameter value."""
"Get-AzAlert","Unassigned Variable","""Get-AzAlert -IncludeContext $true is a null-valued parameter value."""
"Get-AzSmartGroupHistory","Invalid ParameterName","""Get-AzSmartGroupHistory -AlertId"" is not a valid parameter name."
"Set-AzAlertProcessingRule","TerminatorExpectedAtEndOfString","The string is missing the terminator: ""."
"New-AzAnalysisServicesFirewallConfig","Incorrect ParameterType","""New-AzAnalysisServicesFirewallConfig -FirewallRule $rule1,$rule2"" is not an expected parameter type."
"New-AzAnalysisServicesServer","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzAnalysisServicesServer","Unassigned Parameter","""New-AzAnalysisServicesServer -FirewallConfig"" must be assigned with a value."
"Set-AzAnalysisServicesServer","Incorrect ParameterType","""Set-AzAnalysisServicesServer -Tag ""key1:value1,key2:value2"""" is not an expected parameter type."
"Add-AzApiManagementRegion","Unassigned Variable","""Add-AzApiManagementRegion -ApiManagement $ApiManagement is a null-valued parameter value."""
"Add-AzApiManagementRegion","Incorrect ParameterType","""Add-AzApiManagementRegion -Sku ""Premium"""" is not an expected parameter type."
"Add-AzApiManagementRegion","Unassigned Variable","""Add-AzApiManagementRegion -Location $secondarylocation is a null-valued parameter value."""
